,test_num,biased_t_prob,biased_bartlett_prob,cm_t_prob,cm_bartlett_prob,declus_t_prob,declus_bartlett_prob
101,101.0,0.8351513690953897,0.40066213535120376,0.34034419640617275,0.6968552590247532,0.6130301629814066,1.2921785185362016e-130
102,102.0,0.9787830138403857,0.13578127437542326,0.46081762323348585,0.06214389917019243,0.03213248856897268,1.2438761050079876e-68
103,103.0,0.12032881346705207,0.7331430230147329,0.9390817303301084,0.45765158182812926,0.030536259744636116,1.5701671986835712e-68
104,104.0,0.9671989350631609,0.5161170328597207,0.4703478673578453,0.5722507269642427,0.0831352185209676,3.065624387761463e-96
105,105.0,0.09949695245282442,0.019456399240536656,0.8565205687385341,0.045007639212007684,0.0024968381531777716,8.103062395614115e-69
106,106.0,0.6120027258197769,0.4313056212103248,0.11457504508085278,0.04244998990580903,0.10737492097461504,1.4756965381089499e-46
107,107.0,0.05874514602966655,0.17994431545863193,0.48445593649852603,0.038259708625047545,0.23418700373632595,6.900009405784078e-76
108,108.0,0.5652026881457293,0.10123860203862334,0.7666007827406497,0.10032456834611322,0.06434936795218388,1.2532950950977456e-74
109,109.0,0.8263425230427204,0.9511936003439091,0.8254517230476477,0.5860774050551716,0.21906237046415136,1.4006455987727318e-49
110,110.0,0.9744500023843812,0.14424957981349634,0.7976468370036343,0.06439630616618411,0.3905874477953559,3.313657919295733e-177
111,111.0,0.029097406408480648,0.7113637848178859,0.01782303705371175,0.3472355610501938,0.0009582171650745047,2.280912330378557e-59
112,112.0,0.19445285638285156,0.1976389584800748,0.41872949875984367,0.26656347398742763,0.007893796784644674,6.465686033160411e-60
113,113.0,0.8981514555305506,0.4217075193626154,0.9472276691271158,0.12327518395786957,0.06390587864477458,4.6449895084540954e-154
114,114.0,0.7988301454093545,0.6812110924625019,0.5917544204815038,0.6792523570186616,0.1277382891385791,1.0947573606006446e-70
115,115.0,0.29240857514183316,0.45866333001316006,0.32154570972812485,0.2224779148282992,0.11710743590570932,2.10930865212323e-91
116,116.0,0.6493631778738317,0.4669606991498926,0.8382114796614685,0.22807677663931936,0.06476892960678704,6.543680797957845e-48
117,117.0,0.12270550011523558,0.2924176387913804,0.1690988867981906,0.46549059302649354,0.0038510686190920858,1.0479945219300445e-138
118,118.0,0.006023122631690605,0.5670306938312295,0.09662722890520942,0.9106443500716901,0.7320122381139275,6.093477858546562e-50
